path,id,source_id,title,status,severity,source_table
browser/browser-extension-install-from-temp-or-user-profile.yml,SPLK-BROW-0001,SENT-BROW-0001,Browser Extension Files Created by Non-Browser Process,production,medium,DeviceFileEvents
collection/Clipboard-Data-Collection.yml,SPLK-COLL-0001,SENT-COLL-0001,Suspicious Clipboard Read or Clipboard Utility Execution,production,medium,DeviceProcessEvents
collection/data-from-local-system.yml,SPLK-COLL-0005,SENT-COLL-0005,Suspicious Access to Sensitive Local User Documents,production,medium,DeviceFileEvents
collection/graph-mail-access-burst.yml,SPLK-COLL-0004,SENT-COLL-0004,Microsoft Graph Mail Access Burst,production,medium,CloudAppEvents
collection/mass-file-enumeration-in-user-data-paths.yml,SPLK-COLL-0002,SENT-COLL-0002,Mass File Access in User Data Paths by Uncommon Process,production,medium,DeviceFileEvents
collection/screen-capture-utility-execution.yml,SPLK-COLL-0003,SENT-COLL-0003,Suspicious Screen Capture Utility Execution,production,medium,DeviceProcessEvents
command-and-control/powershell-or-lolbin-external-network-traffic.yml,SPLK-C2-0002,SENT-C2-0002,PowerShell or LOLBin External Network Traffic,production,high,DeviceNetworkEvents
command-and-control/quick-assist-or-rmm-followed-by-script-execution.yml,SPLK-C2-0004,SENT-C2-0004,Quick Assist or RMM Followed by Script Execution,production,high,DeviceProcessEvents
command-and-control/sharepoint-spinstall0-or-webshell-staging-access.yml,SPLK-C2-0005,SENT-C2-0005,SharePoint SPInstall0 or Suspicious Setup Artifact Access,production,high,OfficeActivity
command-and-control/suspicious-web-download-via-certutil-or-bitsadmin.yml,SPLK-C2-0003,SENT-C2-0003,Suspicious Web Download via Certutil or Bitsadmin,production,high,DeviceProcessEvents
credential-access/device-code-phishing-followed-by-graph-mail-access.yml,SPLK-CRED-0004,SENT-CRED-0004,Device Code Phishing Followed by Graph Mail Access,production,high,SigninLogs
credential-access/potential-lsass-memory-dump.yml,SPLK-CRED-0002,SENT-CRED-0002,Potential LSASS Memory Dump,production,high,DeviceProcessEvents
credential-access/potential-ntlm-enumeration-via-failed-logons.yml,SPLK-CRED-0001,SENT-CRED-0001,Potential NTLM Enumeration via Failed Logons,production,high,IdentityLogonEvents
credential-access/suspicious-browser-credential-store-access.yml,SPLK-CRED-0003,SENT-CRED-0003,Suspicious Browser Credential Store Access,production,medium,DeviceFileEvents
credential-access/vmware_vmdk_ntds_theft.yml,SPLK-CRED-0006,SENT-CRED-0006,VMware vCenter VMDK Attach-Detach Activity Potentially Related to NTDS Theft,production,high,VMware_CL
defense-evasion/clear-windows-event-logs.yml,SPLK-DEFEV-0003,SENT-DEFEV-0003,Clear Windows Event Logs,production,high,DeviceProcessEvents
defense-evasion/disable-script-block-logging.yml,SPLK-DE-0001,SENT-DE-0001,Disable Script Block Logging,production,medium,DeviceRegistryEvents
defense-evasion/powershell-script-block-logging-disabled.yml,SPLK-DEFEV-0001,SENT-DEFEV-0001,PowerShell Script Block Logging Disabled,production,high,DeviceRegistryEvents
defense-evasion/security-tool-disable-attempt.yml,SPLK-DEFEV-0002,SENT-DEFEV-0002,Security Tool Disable Attempt,production,high,DeviceProcessEvents
discovery/Net-User-Enumeration.yml,SPLK-DISC-0005,SENT-DISC-0005,Net User Enumeration,production,medium,DeviceProcessEvents
discovery/dns-enumeration-via-command-line-tools.yml,SPLK-DISC-0004,SENT-DISC-0004,DNS Enumeration via Command-Line Tools,production,medium,DeviceProcessEvents
discovery/ldap-enumeration-using-powershell.yml,SPLK-DISC-0003,SENT-DISC-0003,LDAP Enumeration Using PowerShell,production,medium,DeviceProcessEvents
discovery/net-group-and-domain-trust-discovery.yml,SPLK-DISC-0001,SENT-DISC-0001,Net Group and Domain Trust Discovery,production,medium,DeviceProcessEvents
discovery/system-and-network-configuration-discovery.yml,SPLK-DISC-0002,SENT-DISC-0002,System and Network Configuration Discovery,production,medium,DeviceProcessEvents
execution/fake_captcha_browser_to_script.yml,SPLK-EXEC-0004,SENT-EXEC-0004,Suspicious Fake CAPTCHA Browser-to-Script Execution Chain,production,high,DeviceProcessEvents
execution/malicious-and-paste-powershell-from-explorer.yml,SPLK-EXEC-0005,SENT-EXEC-0005,Paste-and-Run Shell or Script Execution from Explorer,production,high,DeviceProcessEvents
execution/mshta-launching-script-or-powershell.yml,SPLK-EXEC-0006,SENT-EXEC-0006,mshta launching script or powershell,production,high,DeviceProcessEvents
execution/oauth-redirection-abuse-followed-by-browser-download.yml,SPLK-EXEC-0010,SENT-EXEC-0010,OAuth Redirection Abuse Followed by Suspicious Execution,production,high,UrlClickEvents
execution/powershell-encoded-command-execution.yml,SPLK-EXEC-0001,SENT-EXEC-0001,PowerShell Encoded Command Execution,production,high,DeviceProcessEvents
execution/powershell-encoded-command-from-temp-folder.yml,SPLK-EXEC-0003,SENT-EXEC-0003,PowerShell Encoded Command from Temp or User-Writable Path,production,high,DeviceProcessEvents
